station_complex_id,dow,hora,ridership
107,0,22,502
107,0,23,290
107,1,0,171
107,1,1,48
107,1,2,29
107,1,3,15
107,1,4,33
107,1,5,65
107,1,6,347
107,1,7,682
107,1,8,1087
107,1,9,1012
107,1,10,901
107,1,11,1223
107,1,12,1726
107,1,13,1813
107,1,14,2892
107,1,15,4092
107,1,16,6782
107,1,17,13940
107,1,18,9076
107,1,19,3809
107,1,20,1999
107,1,21,1247
107,1,22,652
107,1,23,454
107,2,0,519
107,2,1,82
107,2,2,46
107,2,3,37
107,2,4,54
107,2,5,65
107,2,6,440
107,2,7,743
107,2,8,1332
107,2,9,1124
107,2,10,1082
107,2,11,1332
