station_complex_id,dow,hora,share,total_prepandemia
451,5,0,0.00040675,1081740
451,5,1,0.00029767,1081740
451,5,2,0.00039011,1081740
451,5,3,0.00070997,1081740
451,5,4,0.00254405,1081740
451,5,5,0.00895409,1081740
451,5,6,0.01914231,1081740
451,5,7,0.02788101,1081740
451,5,8,0.02332446,1081740
451,5,9,0.01236341,1081740
451,5,10,0.00823950,1081740
451,5,11,0.00605506,1081740
451,5,12,0.00550040,1081740
451,5,13,0.00640542,1081740
451,5,14,0.00835876,1081740
451,5,15,0.00926285,1081740
451,5,16,0.00860281,1081740
451,5,17,0.00783090,1081740
451,5,18,0.00672712,1081740
451,5,19,0.00497070,1081740
451,5,20,0.00367186,1081740
451,5,21,0.00263002,1081740
451,5,22,0.00206057,1081740
451,5,23,0.00137464,1081740
451,6,0,0.00071367,1081740
451,6,1,0.00040675,1081740
451,6,2,0.00035868,1081740
451,6,3,0.00052785,1081740
451,6,4,0.00146153,1081740
451,6,5,0.00345739,1081740
451,6,6,0.00778468,1081740
451,6,7,0.01068186,1081740
451,6,8,0.00958733,1081740
451,6,9,0.00836523,1081740
451,6,10,0.00697765,1081740
451,6,11,0.00632684,1081740
451,6,12,0.00605968,1081740
451,6,13,0.00689167,1081740
451,6,14,0.00761643,1081740
451,6,15,0.00761643,1081740
451,6,16,0.00678074,1081740
451,6,17,0.00572873,1081740
451,6,18,0.00469429,1081740
451,6,19,0.00388263,1081740
451,6,20,0.00309224,1081740
451,6,21,0.00225563,1081740
451,6,22,0.00182576,1081740
451,6,23,0.00114445,1081740
452,0,0,0.00058782,843794
452,0,1,0.00041835,843794
452,0,2,0.00036739,843794
452,0,3,0.00043613,843794
452,0,4,0.00084618,843794
452,0,5,0.00166747,843794
452,0,6,0.00355181,843794
452,0,7,0.00416334,843794
452,0,8,0.00558549,843794
452,0,9,0.00693297,843794
452,0,10,0.00685594,843794
452,0,11,0.00540179,843794
452,0,12,0.00529632,843794
452,0,13,0.00592562,843794
452,0,14,0.00636648,843794
452,0,15,0.00608798,843794
452,0,16,0.00513514,843794
452,0,17,0.00456510,843794
452,0,18,0.00362055,843794
452,0,19,0.00282652,843794
452,0,20,0.00218418,843794
452,0,21,0.00170302,843794
452,0,22,0.00143874,843794
452,0,23,0.00077507,843794
452,1,0,0.00035435,843794
452,1,1,0.00022636,843794
452,1,2,0.00035554,843794
452,1,3,0.00068737,843794
452,1,4,0.00228136,843794
452,1,5,0.00688912,843794
452,1,6,0.01383395,843794
452,1,7,0.01889916,843794
452,1,8,0.01581192,843794
